dataset,feat_algo,acc,prec,recall,f1,mcc,roc_auc,g-m,bal
prop-5.csv,RFE-Logistic2,0.76,0.56,0.57,0.56,0.13,0.67,0.68,0.68
prop-5.csv,RFE-Logistic3,0.76,0.57,0.59,0.58,0.16,0.69,0.69,0.69
prop-5.csv,RFE-Logistic4,0.77,0.56,0.56,0.56,0.12,0.66,0.68,0.68
prop-5.csv,Forward1,0.76,0.56,0.56,0.56,0.12,0.65,0.67,0.67
prop-5.csv,Forward2,0.75,0.57,0.59,0.58,0.16,0.67,0.69,0.68
prop-5.csv,Forward3,0.77,0.56,0.56,0.56,0.12,0.63,0.68,0.67
prop-5.csv,Forward4,0.76,0.58,0.6,0.58,0.17,0.69,0.69,0.69
prop-5.csv,RFE-Random1,0.58,0.54,0.58,0.5,0.12,0.61,0.58,0.58
prop-5.csv,RFE-Random2,0.8,0.58,0.56,0.57,0.15,0.68,0.7,0.68
prop-5.csv,RFE-Random3,0.79,0.58,0.58,0.58,0.16,0.68,0.7,0.69
prop-5.csv,RFE-Random4,0.77,0.58,0.59,0.58,0.16,0.7,0.69,0.69
prop-5.csv,Backward1,0.77,0.56,0.56,0.56,0.11,0.65,0.68,0.67
prop-5.csv,Backward2,0.77,0.57,0.57,0.57,0.14,0.67,0.69,0.68
prop-5.csv,Backward3,0.77,0.57,0.58,0.58,0.15,0.68,0.69,0.69
prop-5.csv,Backward4,0.77,0.58,0.59,0.58,0.16,0.7,0.69,0.69
prop-5.csv,Auto-Spearman,0.76,0.55,0.56,0.56,0.11,0.56,0.67,0.67
prop-5.csv,ATE-FS,0.78,0.57,0.57,0.57,0.14,0.64,0.69,0.68
--------,--------,--------,--------,--------,--------,--------,--------,--------,--------
camel-2.11.0.csv,None,0.94,0.58,0.67,0.6,0.23,0.75,0.79,0.77
camel-2.11.0.csv,GSMB,0.93,0.54,0.62,0.56,0.15,0.68,0.75,0.73
camel-2.11.0.csv,IAMB,0.94,0.55,0.61,0.57,0.16,0.72,0.75,0.73
camel-2.11.0.csv,IAMBnPC,0.92,0.54,0.63,0.56,0.15,0.73,0.75,0.74
camel-2.11.0.csv,LRH,0.95,0.54,0.57,0.55,0.11,0.7,0.72,0.69
camel-2.11.0.csv,BAMB,--,--,--,--,--,--,--,
camel-2.11.0.csv,FBEDk,0.94,0.56,0.64,0.58,0.18,0.73,0.76,0.74
camel-2.11.0.csv,MMMB,--,--,--,--,--,--,--,
camel-2.11.0.csv,PCMB,0.94,0.52,0.56,0.53,0.07,0.64,0.7,0.68
camel-2.11.0.csv,HITON_MB,0.95,0.53,0.56,0.54,0.09,0.68,0.71,0.69
camel-2.11.0.csv,MBOR,--,--,--,--,--,--,--,
camel-2.11.0.csv,IPCMB,--,--,--,--,--,--,--,
camel-2.11.0.csv,STMB,--,--,--,--,--,--,--,
camel-2.11.0.csv,KIAMB,0.96,0.55,0.56,0.56,0.12,0.65,0.71,0.69
camel-2.11.0.csv,TIE_P,0.95,0.56,0.6,0.57,0.15,0.7,0.74,0.72
camel-2.11.0.csv,Chi-Square1,0.92,0.54,0.63,0.56,0.15,0.67,0.75,0.74
camel-2.11.0.csv,Chi-Square2,0.93,0.55,0.64,0.57,0.17,0.71,0.76,0.74
camel-2.11.0.csv,Chi-Square3,0.92,0.55,0.65,0.57,0.17,0.71,0.77,0.75
camel-2.11.0.csv,Chi-Square4,0.92,0.55,0.64,0.56,0.16,0.69,0.76,0.74
camel-2.11.0.csv,Mutual-Info1,0.95,0.56,0.6,0.58,0.16,0.67,0.74,0.72
camel-2.11.0.csv,Mutual-Info2,0.95,0.57,0.63,0.59,0.2,0.72,0.76,0.74
camel-2.11.0.csv,Mutual-Info3,0.94,0.56,0.63,0.58,0.18,0.73,0.76,0.74
camel-2.11.0.csv,Mutual-Info4,0.94,0.57,0.68,0.6,0.23,0.76,0.79,0.77
camel-2.11.0.csv,Anova1,0.94,0.54,0.58,0.55,0.11,0.62,0.72,0.7
camel-2.11.0.csv,Anova2,0.96,0.54,0.55,0.55,0.09,0.65,0.71,0.68
camel-2.11.0.csv,Anova3,0.95,0.55,0.58,0.56,0.12,0.67,0.72,0.7
