dataset,feat_algo,acc,prec,recall,f1,mcc,roc_auc,g-m,bal
prop-5.csv,Forward1,0.62,0.57,0.64,0.54,0.2,0.64,0.63,0.63
prop-5.csv,Forward2,0.62,0.57,0.63,0.54,0.2,0.63,0.62,0.63
prop-5.csv,Forward3,0.62,0.57,0.63,0.54,0.19,0.63,0.62,0.62
prop-5.csv,Forward4,0.62,0.57,0.63,0.54,0.19,0.63,0.62,0.62
prop-5.csv,RFE-Random1,0.72,0.54,0.56,0.55,0.1,0.56,0.66,0.66
prop-5.csv,RFE-Random2,0.5,0.55,0.59,0.46,0.14,0.59,0.51,0.52
prop-5.csv,RFE-Random3,0.63,0.56,0.62,0.54,0.17,0.62,0.62,0.62
prop-5.csv,RFE-Random4,0.63,0.57,0.62,0.54,0.18,0.62,0.63,0.63
prop-5.csv,Backward1,0.61,0.57,0.63,0.53,0.19,0.63,0.62,0.62
prop-5.csv,Backward2,0.62,0.57,0.63,0.54,0.19,0.63,0.62,0.62
prop-5.csv,Backward3,0.62,0.57,0.64,0.54,0.2,0.64,0.62,0.62
prop-5.csv,Backward4,0.62,0.57,0.64,0.54,0.2,0.64,0.62,0.62
prop-5.csv,Auto-Spearman,0.64,0.57,0.63,0.55,0.19,0.63,0.64,0.64
prop-5.csv,ATE-FS,0.62,0.57,0.63,0.54,0.19,0.63,0.62,0.62
--------,--------,--------,--------,--------,--------,--------,--------,--------,--------
camel-2.11.0.csv,None,0.98,0.66,0.52,0.53,0.1,0.52,0.68,0.66
camel-2.11.0.csv,GSMB,0.78,0.53,0.73,0.5,0.16,0.73,0.75,0.75
camel-2.11.0.csv,IAMB,0.78,0.53,0.73,0.5,0.16,0.73,0.76,0.75
camel-2.11.0.csv,IAMBnPC,0.76,0.52,0.7,0.48,0.13,0.7,0.72,0.72
camel-2.11.0.csv,LRH,0.78,0.53,0.72,0.49,0.15,0.72,0.75,0.75
camel-2.11.0.csv,BAMB,--,--,--,--,--,--,--,
camel-2.11.0.csv,FBEDk,0.78,0.53,0.74,0.5,0.16,0.74,0.76,0.76
camel-2.11.0.csv,MMMB,--,--,--,--,--,--,--,
camel-2.11.0.csv,PCMB,0.76,0.52,0.69,0.48,0.13,0.69,0.72,0.72
camel-2.11.0.csv,HITON_MB,0.77,0.53,0.71,0.49,0.15,0.71,0.74,0.74
camel-2.11.0.csv,MBOR,--,--,--,--,--,--,--,
camel-2.11.0.csv,IPCMB,--,--,--,--,--,--,--,
camel-2.11.0.csv,STMB,--,--,--,--,--,--,--,
camel-2.11.0.csv,KIAMB,0.79,0.53,0.73,0.5,0.16,0.73,0.76,0.76
camel-2.11.0.csv,TIE_P,0.79,0.53,0.75,0.5,0.17,0.75,0.77,0.77
camel-2.11.0.csv,Chi-Square1,0.98,0.64,0.52,0.52,0.09,0.52,0.68,0.66
camel-2.11.0.csv,Chi-Square2,0.98,0.64,0.52,0.52,0.09,0.52,0.68,0.66
