dataset,feat_algo,acc,prec,recall,f1,mcc,roc_auc,g-m,bal
prop-1.csv,IAMBnPC,0.79,0.61,0.64,0.62,0.25,0.71,0.73,0.72
prop-1.csv,LRH,0.79,0.61,0.64,0.62,0.25,0.72,0.73,0.72
prop-1.csv,BAMB,0.71,0.58,0.63,0.58,0.21,0.69,0.68,0.68
prop-1.csv,FBEDk,0.61,0.54,0.58,0.51,0.11,0.64,0.6,0.6
prop-1.csv,MMMB,0.79,0.61,0.64,0.62,0.25,0.72,0.73,0.72
prop-1.csv,PCMB,0.72,0.58,0.63,0.59,0.21,0.69,0.69,0.69
prop-1.csv,HITON_MB,0.78,0.61,0.64,0.62,0.25,0.72,0.73,0.72
prop-1.csv,MBOR,0.79,0.61,0.64,0.62,0.25,0.72,0.73,0.72
prop-1.csv,IPCMB,0.79,0.61,0.64,0.62,0.25,0.72,0.73,0.72
prop-1.csv,STMB,0.79,0.62,0.64,0.63,0.26,0.73,0.73,0.73
prop-1.csv,KIAMB,0.79,0.61,0.64,0.62,0.25,0.72,0.73,0.72
prop-1.csv,TIE_P,0.79,0.62,0.64,0.63,0.26,0.73,0.73,0.73
prop-1.csv,Chi-Square1,0.72,0.61,0.69,0.61,0.29,0.76,0.71,0.71
prop-1.csv,Chi-Square2,0.82,0.64,0.65,0.65,0.29,0.78,0.75,0.74
prop-1.csv,Chi-Square3,0.77,0.64,0.71,0.65,0.34,0.8,0.75,0.75
prop-1.csv,Chi-Square4,0.82,0.65,0.66,0.65,0.31,0.79,0.76,0.74
prop-1.csv,Mutual-Info1,0.82,0.65,0.65,0.65,0.3,0.78,0.75,0.74
prop-1.csv,Mutual-Info2,0.82,0.65,0.65,0.65,0.3,0.79,0.75,0.74
prop-1.csv,Mutual-Info3,0.82,0.65,0.66,0.65,0.31,0.79,0.76,0.75
prop-1.csv,Mutual-Info4,0.83,0.66,0.68,0.67,0.34,0.81,0.77,0.76
prop-1.csv,Anova1,0.82,0.65,0.65,0.65,0.3,0.78,0.75,0.74
prop-1.csv,Anova2,0.82,0.65,0.65,0.65,0.3,0.79,0.75,0.74
prop-1.csv,Anova3,0.82,0.65,0.65,0.65,0.3,0.79,0.75,0.74
prop-1.csv,Anova4,0.82,0.65,0.65,0.65,0.3,0.79,0.75,0.74
prop-1.csv,DropCorrelated1,0.77,0.62,0.68,0.63,0.29,0.76,0.74,0.73
prop-1.csv,DropCorrelated2,0.79,0.63,0.66,0.64,0.29,0.76,0.74,0.74
prop-1.csv,DropCorrelated3,0.82,0.64,0.65,0.65,0.29,0.78,0.75,0.74
prop-1.csv,DropCorrelated4,0.83,0.66,0.66,0.66,0.32,0.78,0.76,0.75
prop-1.csv,SmartCorrelated1,0.81,0.62,0.61,0.61,0.23,0.74,0.72,0.71
prop-1.csv,SmartCorrelated2,0.82,0.63,0.61,0.62,0.24,0.74,0.73,0.72
prop-1.csv,SmartCorrelated3,0.81,0.62,0.62,0.62,0.24,0.77,0.73,0.72
prop-1.csv,SmartCorrelated4,0.82,0.64,0.62,0.63,0.26,0.76,0.74,0.72
prop-1.csv,RFE-Logistic1,0.82,0.64,0.64,0.64,0.28,0.74,0.75,0.73
prop-1.csv,RFE-Logistic2,0.79,0.63,0.68,0.64,0.3,0.75,0.75,0.74
prop-1.csv,RFE-Logistic3,0.82,0.65,0.66,0.65,0.31,0.78,0.76,0.75
prop-1.csv,RFE-Logistic4,0.82,0.65,0.66,0.65,0.31,0.79,0.76,0.75
prop-1.csv,Forward1,0.81,0.63,0.65,0.64,0.28,0.76,0.74,0.73
prop-1.csv,Forward2,0.82,0.65,0.65,0.65,0.3,0.79,0.75,0.74
prop-1.csv,Forward3,0.82,0.65,0.65,0.65,0.3,0.78,0.75,0.74
prop-1.csv,Forward4,0.82,0.65,0.66,0.66,0.31,0.79,0.76,0.75
prop-1.csv,RFE-Random1,0.84,0.63,0.55,0.55,0.16,0.59,0.7,0.68
prop-1.csv,RFE-Random2,0.83,0.63,0.6,0.61,0.23,0.68,0.73,0.71
prop-1.csv,RFE-Random3,0.8,0.61,0.63,0.62,0.24,0.72,0.73,0.72
prop-1.csv,RFE-Random4,0.79,0.63,0.65,0.64,0.28,0.74,0.74,0.73
prop-1.csv,Backward1,0.81,0.64,0.65,0.64,0.29,0.77,0.75,0.74
prop-1.csv,Backward2,0.81,0.64,0.65,0.65,0.29,0.78,0.75,0.74
