dataset,feat_algo,acc,prec,recall,f1,mcc,roc_auc,g-m,bal
prop-1.csv,DropCorrelated1,0.69,0.57,0.62,0.57,0.19,0.62,0.67,0.67
prop-1.csv,DropCorrelated2,0.71,0.57,0.62,0.57,0.18,0.62,0.67,0.67
prop-1.csv,DropCorrelated3,0.72,0.59,0.65,0.59,0.23,0.65,0.7,0.7
prop-1.csv,DropCorrelated4,0.72,0.6,0.66,0.6,0.25,0.66,0.7,0.7
prop-1.csv,SmartCorrelated1,0.73,0.58,0.62,0.58,0.19,0.62,0.69,0.69
prop-1.csv,SmartCorrelated2,0.65,0.56,0.61,0.54,0.16,0.61,0.64,0.64
prop-1.csv,SmartCorrelated3,0.73,0.58,0.62,0.58,0.19,0.62,0.69,0.69
prop-1.csv,SmartCorrelated4,0.67,0.57,0.61,0.55,0.17,0.61,0.65,0.65
prop-1.csv,RFE-Logistic1,0.73,0.57,0.61,0.58,0.18,0.61,0.68,0.68
prop-1.csv,RFE-Logistic2,0.71,0.58,0.64,0.58,0.21,0.64,0.68,0.68
prop-1.csv,RFE-Logistic3,0.61,0.57,0.64,0.53,0.2,0.64,0.62,0.62
prop-1.csv,RFE-Logistic4,0.65,0.59,0.66,0.56,0.24,0.66,0.66,0.66
prop-1.csv,Forward1,0.72,0.58,0.64,0.59,0.21,0.64,0.69,0.69
prop-1.csv,Forward2,0.72,0.59,0.65,0.59,0.23,0.65,0.69,0.69
prop-1.csv,RFE-Random1,0.69,0.53,0.55,0.53,0.08,0.55,0.63,0.63
prop-1.csv,RFE-Random2,0.61,0.53,0.55,0.5,0.07,0.55,0.59,0.59
prop-1.csv,RFE-Random3,0.66,0.55,0.59,0.54,0.14,0.59,0.63,0.64
prop-1.csv,RFE-Random4,0.67,0.56,0.6,0.55,0.15,0.6,0.65,0.65
prop-1.csv,Forward3,0.72,0.59,0.65,0.59,0.23,0.65,0.7,0.69
prop-1.csv,Forward4,0.71,0.59,0.65,0.59,0.23,0.65,0.69,0.69
prop-1.csv,Backward1,0.72,0.58,0.64,0.59,0.21,0.64,0.69,0.69
prop-1.csv,Backward2,0.72,0.59,0.64,0.59,0.22,0.64,0.69,0.69
prop-1.csv,Backward3,0.71,0.58,0.64,0.58,0.21,0.64,0.69,0.69
prop-1.csv,Backward4,0.71,0.59,0.65,0.59,0.23,0.65,0.69,0.69
prop-1.csv,Auto-Spearman,0.71,0.59,0.64,0.59,0.22,0.64,0.69,0.69
prop-1.csv,ATE-FS,0.7,0.58,0.64,0.58,0.22,0.66,0.68,0.68
--------,--------,--------,--------,--------,--------,--------,--------,--------,--------
prop-5.csv,None,0.64,0.58,0.65,0.56,0.22,0.65,0.65,0.65
prop-5.csv,GSMB,0.52,0.52,0.54,0.45,0.06,0.54,0.52,0.52
prop-5.csv,IAMB,0.51,0.52,0.54,0.45,0.05,0.54,0.52,0.52
prop-5.csv,IAMBnPC,0.48,0.51,0.53,0.43,0.04,0.53,0.49,0.49
prop-5.csv,LRH,0.51,0.52,0.54,0.45,0.06,0.54,0.52,0.52
prop-5.csv,BAMB,0.51,0.52,0.54,0.45,0.06,0.54,0.52,0.52
