dataset,feat_algo,acc,prec,recall,f1,mcc,roc_auc,g-m,bal
prop-1.csv,SmartCorrelated3,0.81,0.64,0.66,0.65,0.3,0.73,0.75,0.74
prop-1.csv,SmartCorrelated4,0.81,0.64,0.66,0.65,0.3,0.73,0.75,0.74
prop-1.csv,RFE-Logistic1,0.79,0.62,0.65,0.63,0.27,0.72,0.74,0.73
prop-1.csv,RFE-Logistic2,0.79,0.63,0.66,0.64,0.28,0.73,0.74,0.74
prop-1.csv,RFE-Logistic3,0.79,0.62,0.66,0.64,0.28,0.74,0.74,0.74
prop-1.csv,RFE-Logistic4,0.8,0.64,0.66,0.65,0.3,0.73,0.75,0.74
prop-1.csv,Forward1,0.81,0.63,0.64,0.63,0.27,0.72,0.74,0.73
prop-1.csv,Forward2,0.79,0.63,0.67,0.64,0.29,0.74,0.74,0.74
prop-1.csv,Forward3,0.8,0.63,0.67,0.64,0.29,0.73,0.75,0.74
prop-1.csv,Forward4,0.79,0.63,0.67,0.64,0.3,0.74,0.75,0.74
prop-1.csv,RFE-Random1,0.84,0.63,0.55,0.55,0.15,0.6,0.7,0.68
prop-1.csv,RFE-Random2,0.83,0.63,0.58,0.59,0.2,0.67,0.72,0.7
prop-1.csv,RFE-Random3,0.82,0.62,0.6,0.6,0.21,0.69,0.72,0.71
prop-1.csv,RFE-Random4,0.82,0.62,0.6,0.61,0.22,0.69,0.72,0.71
prop-1.csv,Backward1,0.79,0.63,0.66,0.64,0.29,0.73,0.74,0.74
prop-1.csv,Backward2,0.79,0.63,0.67,0.64,0.3,0.73,0.75,0.74
prop-1.csv,Backward3,0.79,0.63,0.66,0.64,0.29,0.73,0.74,0.74
prop-1.csv,Backward4,0.8,0.63,0.66,0.64,0.29,0.72,0.75,0.74
prop-1.csv,Auto-Spearman,0.81,0.65,0.68,0.66,0.33,0.68,0.76,0.75
prop-1.csv,ATE-FS,0.82,0.63,0.6,0.61,0.23,0.69,0.73,0.71
--------,--------,--------,--------,--------,--------,--------,--------,--------,--------
prop-5.csv,None,0.75,0.55,0.56,0.55,0.11,0.62,0.67,0.67
prop-5.csv,GSMB,0.83,0.6,0.53,0.53,0.11,0.56,0.68,0.67
prop-5.csv,IAMB,0.84,0.61,0.53,0.53,0.11,0.56,0.69,0.67
prop-5.csv,IAMBnPC,0.84,0.61,0.54,0.54,0.13,0.55,0.69,0.67
prop-5.csv,LRH,0.83,0.58,0.53,0.52,0.1,0.55,0.68,0.67
prop-5.csv,BAMB,0.83,0.61,0.53,0.53,0.12,0.56,0.69,0.67
prop-5.csv,FBEDk,0.83,0.6,0.53,0.52,0.11,0.56,0.68,0.67
prop-5.csv,MMMB,0.84,0.61,0.54,0.53,0.13,0.6,0.69,0.67
prop-5.csv,PCMB,0.84,0.61,0.53,0.52,0.11,0.55,0.68,0.66
prop-5.csv,HITON_MB,0.83,0.6,0.53,0.53,0.12,0.55,0.69,0.67
prop-5.csv,MBOR,0.83,0.6,0.53,0.53,0.12,0.59,0.69,0.67
prop-5.csv,IPCMB,0.84,0.61,0.53,0.53,0.11,0.59,0.69,0.67
prop-5.csv,STMB,0.83,0.6,0.53,0.53,0.1,0.57,0.68,0.67
prop-5.csv,KIAMB,0.84,0.61,0.53,0.53,0.12,0.56,0.69,0.67
